,Household total,0.2,0.4,0.6,0.8,1.0
2022-04-07 06:00:00,118.313795485239,4.7855444,7.513534600000001,13.131354,13.069701000000002,9.625034
2022-04-07 06:15:00,118.008564970423,3.1749508,6.426963200000001,7.528950999999999,6.912451000000001,6.010828
2022-04-07 06:30:00,117.847031455174,3.6450284,5.355803600000001,6.419255999999999,6.342196999999999,5.440571000000002
2022-04-07 06:45:00,122.686086533284,3.6296163,3.9686884,7.8449033,5.7642299999999995,5.301857999999999
2022-04-07 07:00:00,124.598194510054,1.1790472,1.1790473,1.1790473000000001,2.5353372000000003,1.5181189999999996
2022-04-07 07:15:00,132.214889142751,1.5643567,1.5643567,1.5643565999999995,4.985906000000001,2.4197439999999997
2022-04-07 07:30:00,153.523161178346,2.3580945,2.3580945,4.091987,0.6242020000000004,2.3580939999999995
2022-04-07 07:45:00,172.078831772914,2.697167,2.697167,2.6971669999999994,2.6971670000000003,2.697166000000001
2022-04-07 08:00:00,172.742818405343,1.2329906,2.6663419,1.9496665000000002,1.9496659999999997,1.9496660000000006
2022-04-07 08:15:00,173.612034521611,2.596986,6.04936,4.323173000000001,3.7066779999999984,4.169048
2022-04-07 08:30:00,168.446479093084,4.69307,7.729310000000001,6.2111920000000005,6.704383,6.334488
2022-04-07 08:45:00,163.352437206299,5.7257,5.864412,5.795056000000001,9.494025999999998,6.719796000000002
2022-04-07 09:00:00,153.78966622898201,3.352193,3.352193,3.352194,3.3521920000000005,3.352192999999998
2022-04-07 09:15:00,154.575812751095,4.5697713,5.8027627,5.186267000000001,5.186266999999999,5.186266
2022-04-07 09:30:00,154.379192381056,4.04575,3.0901829999999997,3.567966,6.157246000000001,4.215285999999999
2022-04-07 09:45:00,150.798155965248,4.2229924,5.1785606,4.238405,4.546652999999999,4.238403000000002
2022-04-07 10:00:00,73.7971588860822,12.838513,12.838516999999998,15.566508000000002,13.131352,13.901964999999997
2022-04-07 10:15:00,76.5926349563499,11.281863,11.497637,18.18661,13.038876000000002,17.354343999999998
2022-04-07 10:30:00,76.1338261797572,12.137251,12.846218,14.549287999999997,12.561093000000007,9.517145999999997
2022-04-07 10:45:00,74.4233629436403,8.931476,12.013953,8.761938,9.285962999999999,12.329897000000003
2022-04-07 11:00:00,137.614511866682,21.500273,22.532902999999997,21.346154,20.56011500000001,23.257278999999997
2022-04-07 11:15:00,144.495052464878,20.382874,25.94675,25.199245999999995,22.609970000000004,27.156616
2022-04-07 11:30:00,148.621735529396,21.638985,26.185641999999998,23.519298,22.548305,24.051015000000007
2022-04-07 11:45:00,148.797169803344,21.492569,22.972156000000002,25.260898999999995,22.008886000000004,26.47847
2022-04-07 12:00:00,67.4869576524036,32.751312,31.872808000000006,33.09809999999999,31.957580000000007,30.108069999999998
2022-04-07 12:15:00,64.6086632065106,33.20598,33.622110000000006,31.91133599999999,31.680164000000005,34.37729999999999
2022-04-07 12:30:00,62.8879000106346,27.618988,28.667034,27.172027999999997,27.20286,25.931309999999996
2022-04-07 12:45:00,61.0423649445043,29.006104,29.838378,25.653908,28.32025,27.819360000000003
2022-04-07 13:00:00,83.1084573313607,38.862328,37.490612000000006,38.22273,41.82919000000001,48.15598
2022-04-07 13:15:00,93.1838277241495,37.521442,38.554078,33.830200000000005,38.60801000000001,28.767209999999977
2022-04-07 13:30:00,89.7039486367084,36.781654,39.447991,38.045485,38.52324,38.31519
2022-04-07 13:45:00,79.3512329860121,37.035954,31.857406000000005,38.792964999999995,34.261714999999995,33.52193
2022-04-07 14:00:00,136.110971368318,71.50575,67.11323999999999,66.25784000000002,63.36031999999997,63.01352000000003
2022-04-07 14:15:00,134.954193773893,72.39196,65.42558000000001,67.15176,64.25417999999999,65.49491999999998
2022-04-07 14:30:00,130.337132137423,75.97535,67.12864,64.80133999999998,69.20931999999999,68.00712000000004
2022-04-07 14:45:00,131.162803708368,80.97667,70.21883000000001,69.35574,68.33850000000001,69.37111999999996
2022-04-07 15:00:00,166.676602632734,67.78365,66.59692000000001,62.33538999999999,67.45231000000001,68.12272999999999
2022-04-07 15:15:00,171.651231977919,69.455894,62.78234599999999,65.26374000000001,65.27918,65.61822000000001
2022-04-07 15:30:00,164.162323837845,69.05519,66.11140999999999,61.98860000000002,64.20802,69.96450999999996
2022-04-07 15:45:00,168.455062351164,64.70889,62.304576,61.51851400000001,63.92284999999998,54.44422
2022-04-07 16:00:00,183.379344607334,51.86267,49.92070999999999,54.2439,49.758880000000005,46.74573000000001
2022-04-07 16:15:00,185.388087978918,58.189453,60.871207,54.35179000000001,56.13962999999998,55.34582
2022-04-07 16:30:00,181.60314585568,62.24291,59.191250000000004,57.06434,59.40701999999999,61.402950000000004
2022-04-07 16:45:00,196.527201370257,64.878426,59.931044,60.902029999999996,61.31819999999999,58.63638000000003
2022-04-07 17:00:00,209.434752345269,28.805746,32.227294,35.25583,38.168769999999995,36.2345
2022-04-07 17:15:00,211.813038175533,33.791653,37.367317,39.55588,40.14155000000001,34.24629999999999
2022-04-07 17:30:00,228.626508259604,35.394543,41.75985300000001,42.969724,41.767589999999984,37.621610000000004
2022-04-07 17:45:00,229.824401953555,37.922173,42.730836999999994,40.372730000000004,43.97924999999999,37.937550000000016
2022-04-07 18:00:00,263.002266909696,24.36698,27.49569,25.122189999999996,29.483890000000002,25.615370000000013
2022-04-07 18:15:00,292.200056902342,28.366499,39.57130099999999,37.25174,40.54999000000001,40.13383999999999
2022-04-07 18:30:00,310.016893798082,33.32929,43.80970000000001,39.65606,46.267979999999994,44.58031
2022-04-07 18:45:00,288.445512221321,39.74854,46.961535000000005,44.210415,47.77069,53.26517999999999
2022-04-07 19:00:00,306.641245697788,24.613575,23.750485,23.534699999999994,24.30534,30.061845000000005
2022-04-07 19:15:00,321.109758276672,23.280405,21.785399,27.295340999999993,26.247275000000002,30.971180000000004
2022-04-07 19:30:00,330.266673721172,23.511591,21.831644,26.023805000000003,29.368303999999995,33.19827599999999
2022-04-07 19:45:00,312.167802154951,21.685225,26.077745000000004,24.22827999999999,23.164794,28.10448600000001
2022-04-07 20:00:00,311.935034964373,6.742917,10.888848000000001,7.590598,7.852610999999996,8.461392000000004
2022-04-07 20:15:00,297.039283404257,6.8122725,9.663563500000002,11.081503999999999,6.010830000000002,7.814073999999998
2022-04-07 20:30:00,269.591397957049,7.7138963,6.8970397000000006,7.305469,10.572898999999996,10.626836000000004
2022-04-07 20:45:00,244.266057875839,6.1110096,6.588791400000001,6.349902999999998,6.812271000000003,8.122327999999996
2022-04-07 21:00:00,274.276037378281,11.821296,11.960011000000002,9.301373000000002,14.479934,15.358428999999994
2022-04-07 21:15:00,300.092090989486,11.3666315,9.363020500000001,12.954107999999998,11.227919999999997,19.666190000000007
2022-04-07 21:30:00,324.925210229519,11.358925,10.788665000000002,11.073796000000002,11.073794,14.58012
2022-04-07 21:45:00,332.730067541721,9.979518,10.657659999999998,10.965908000000002,10.780964,16.37565
2022-04-07 22:00:00,309.439262601247,15.743749,19.858851,25.291714,22.949031999999995,27.511114000000006
2022-04-07 22:15:00,306.618329719867,12.676683,16.39107,23.735060999999998,20.68341600000001,31.47207999999999
2022-04-07 22:30:00,305.893061821697,15.5433855,17.8552465,22.409598000000003,18.57192,28.921325999999993
2022-04-07 22:45:00,290.035143288949,13.146761,15.227428999999999,22.925916,23.573238000000003,32.127121
2022-04-07 23:00:00,267.223328347035,38.885445,53.758395,53.442430000000016,61.36436999999998,47.58575000000002
2022-04-07 23:15:00,242.656333270538,38.51555,54.220755000000004,57.53443499999999,67.59868,55.81594000000001
2022-04-07 23:30:00,227.59444252211,42.28387,54.01269,52.42523,58.14320000000001,49.21171000000001
2022-04-07 23:45:00,195.182478908007,38.13024,51.754785,53.195845000000006,54.41337999999999,44.63428999999999
2022-04-08 00:00:00,150.628370048936,73.41686,83.41951999999999,95.34092000000001,87.11079999999998,81.12306000000001
2022-04-08 00:15:00,128.780313130349,73.27045,87.32652,90.05453,87.74263000000002,94.34692999999999
2022-04-08 00:30:00,123.440160822976,77.26995,82.10948000000002,96.98237,86.25536,87.69646999999998
2022-04-08 00:45:00,117.425403021127,71.90645,81.70871,72.9237,90.49376000000001,83.18829999999997
2022-04-08 01:00:00,117.415354279898,176.72618,153.23772000000002,154.02373999999998,149.98566,145.66255999999998
2022-04-08 01:15:00,119.185942484366,176.68762,150.56368,146.86476,147.46574000000004,145.33872999999994
2022-04-08 01:30:00,119.930721688421,175.47008,153.04502000000002,147.10357999999997,149.10712000000007,144.3139
2022-04-08 01:45:00,117.21161605149,167.70222,153.5999,144.02884,144.62983999999994,146.59490000000005
2022-04-08 02:00:00,118.534616573736,192.2464,157.07544000000001,164.65055999999998,158.8093,156.9058
2022-04-08 02:15:00,119.144407687288,192.36969,164.76617,155.38018999999997,151.07995000000005,156.72846000000004
2022-04-08 02:30:00,119.207631017517,190.73596,163.51782,159.69561999999996,157.59930000000008,154.8637
2022-04-08 02:45:00,117.779453670412,186.32805,156.93678000000003,150.27085,150.70216999999997,150.34789999999998
2022-04-08 03:00:00,118.823182926016,130.65862,130.33491,123.74611999999996,122.60563000000002,126.41246999999998
2022-04-08 03:15:00,118.868737219585,125.92698,136.83895,122.38979999999998,120.24757,117.75826
2022-04-08 03:30:00,118.743127954228,122.39756,120.02403000000001,119.17630999999997,115.60065000000003,114.52178999999995
2022-04-08 03:45:00,118.284319177636,115.68546,114.00549999999998,109.59754000000001,104.49601999999999,109.86734000000007
2022-04-08 04:00:00,118.940083282308,79.173515,85.600455,97.57588000000001,89.36108999999999,83.76641999999998
2022-04-08 04:15:00,118.419977184221,73.64048,80.45274,83.42732000000001,76.89248,76.71528
2022-04-08 04:30:00,118.449788449866,64.5627,76.53810999999999,78.64193,72.38451999999998,70.60434000000004
2022-04-08 04:45:00,119.500384345309,54.60606,60.771029999999996,66.65854,60.83264,60.370330000000024
2022-04-08 05:00:00,118.002786944216,11.173976,17.770476,18.633574000000003,20.452233999999997,15.774569999999997
2022-04-08 05:15:00,118.185925253106,9.424672,11.582406,13.925085000000003,16.576017,14.110030000000002
2022-04-08 05:30:00,119.265495019092,7.7293086,14.726531399999999,8.985416,10.480417,9.440090000000005
2022-04-08 05:45:00,119.119955750298,6.2959576,13.4473034,10.310884999999999,13.408767999999998,14.680296000000006
2022-04-08 06:00:00,117.676119114779,2.2347953,3.5294353999999997,7.413356300000001,6.426962999999999,8.407453
2022-04-08 06:15:00,118.333306791125,2.4890995,4.5389462,6.9355733,8.014437,11.929184000000003
2022-04-08 06:30:00,120.464393587166,3.2443066,7.1590509,5.802762499999998,5.402040000000003,4.669948999999999
2022-04-08 06:45:00,117.675951635758,3.0747702,4.9704938,6.126421000000001,4.723894999999999,7.690779000000003
2022-04-08 07:00:00,117.583419476945,1.6722435,1.6722435,1.672244,1.672243,1.6722435000000004
2022-04-08 07:15:00,119.650696766186,1.7030681,1.7030682,1.7030687000000002,1.7030674999999995,1.7030684999999997
2022-04-08 07:30:00,119.58203036779,2.3349757,2.3349757,2.3349756,2.3349759999999993,2.334975
2022-04-08 07:45:00,117.459819959835,5.8489985,5.8489985,5.849,5.848997000000001,5.848998999999999
2022-04-08 08:00:00,108.476479264107,8.345805,7.421063,9.270548,11.952303999999998,9.247430000000001
2022-04-08 08:15:00,110.584202736792,8.684878,9.008537000000002,5.217091999999997,7.790959000000001,7.675363999999998
2022-04-08 08:30:00,109.113067020935,9.964106,9.116422000000002,11.782767,10.287765,13.909673999999995
2022-04-08 08:45:00,115.780490565577,9.386142,10.834903,10.110523,9.771447999999996,6.4038440000000065
2022-04-08 09:00:00,126.817159756135,4.546653,6.211189,5.355803999999999,5.371214000000002,5.371212999999997
2022-04-08 09:15:00,137.932826084607,3.8608022,5.5099248,6.511733999999999,5.294152,2.288737000000001
2022-04-08 09:30:00,151.697508079942,4.69307,6.126422000000001,5.733405999999999,5.517634000000001,8.523046
2022-04-08 09:45:00,174.727464446025,5.895236,5.3558034999999995,8.561578500000001,6.604205999999998,6.604206000000005
2022-04-08 10:00:00,133.151356562063,17.385168,15.134957999999997,28.304844000000003,21.353855000000003,19.581429
2022-04-08 10:15:00,139.737301563243,15.1966095,18.9264065,26.147104,24.251380000000005,25.176124
2022-04-08 10:30:00,145.045214159175,16.79179,15.867046000000002,28.027417,20.814437000000005,19.60454
2022-04-08 10:45:00,147.8853233884,18.194319,20.567822999999997,20.490768000000003,19.689310000000006,18.96494
2022-04-08 11:00:00,140.464273663769,56.833157,49.743443,51.57754000000001,52.99546999999998,54.59834999999998
2022-04-08 11:15:00,155.279132856995,58.721172,55.49997799999999,46.26795000000001,48.56443999999999,51.68540999999999
2022-04-08 11:30:00,151.747753970758,54.660015,55.92384,54.344065,52.972350000000006,52.47142999999997
2022-04-08 11:45:00,144.498173350943,55.484577,53.357647,53.866305999999994,57.38029,57.02578
2022-04-08 12:00:00,145.863177137682,58.636414,54.968261,56.54805499999999,57.24159,52.95694000000003
2022-04-08 12:15:00,144.932412481389,55.5154,56.90253,54.35946,58.73660000000001,56.417040000000014
2022-04-08 12:30:00,140.418685400552,56.663624,54.76789600000001,49.33503999999999,57.68852000000001,54.99907999999999
2022-04-08 12:45:00,142.022297021606,66.54295,62.21207,58.87529000000001,57.272400000000005,58.682619999999986
2022-04-08 13:00:00,160.361162997012,31.811155,34.939875,32.080864000000005,32.358295999999996,39.540459999999996
2022-04-08 13:15:00,160.003930246338,29.545538,35.016932000000004,35.63342999999999,37.89905999999999,30.78624000000002
2022-04-08 13:30:00,152.92576440398,28.482084,38.500136,39.54818,38.34599999999999,38.72362000000001
2022-04-08 13:45:00,153.02466076557,31.271719,32.751311,33.30615999999999,32.4739,41.08169000000001
2022-04-08 14:00:00,167.772608135964,47.97104,50.853156,54.058933999999994,48.03272000000001,47.917069999999995
2022-04-08 14:15:00,163.037306311038,50.4216,52.40981000000001,47.32373999999999,48.07895000000002,53.64277999999999
2022-04-08 14:30:00,153.663338056001,49.95923,53.51949,52.77972000000001,51.68540999999999,54.7987
2022-04-08 14:45:00,157.746644054215,53.31142,53.18813,47.05399,54.14371,45.52817000000002
2022-04-08 15:00:00,163.394850076236,18.517977,31.726383000000002,26.463070000000002,25.50748,27.017889999999994
2022-04-08 15:15:00,158.034097849345,14.264159,21.754575000000003,33.290755999999995,23.103160000000003,27.919534
2022-04-08 15:30:00,158.680064431319,17.323517,20.991663,25.700150000000008,21.73916,23.365169999999992
2022-04-08 15:45:00,159.161315396655,13.871144,17.431402,29.63801,20.036094000000006,21.438626
2022-04-08 16:00:00,153.31991905768,107.963745,99.009145,91.88090999999997,93.94613000000004,92.30474999999996
2022-04-08 16:15:00,153.164917224231,112.34086,99.2403,94.11574000000002,98.38494999999995,92.23538000000002
2022-04-08 16:30:00,153.281147664441,112.872574,100.69679599999999,104.07980000000003,99.68725999999998,102.63872999999995
2022-04-08 16:45:00,155.194762952394,109.58974,99.60251,95.67237,96.31961000000001,95.24860000000001
2022-04-08 17:00:00,183.91841625227,87.52691,80.22143000000001,78.94991999999999,77.23914000000002,79.17339999999996
2022-04-08 17:15:00,180.100480761999,91.38772,85.60808,83.3425,82.98795999999999,83.90503999999999
2022-04-08 17:30:00,178.112002351893,101.91436,95.37951,88.28981000000002,93.31423999999998,90.67874
2022-04-08 17:45:00,177.476168250658,99.14782,90.00829000000002,87.98930999999999,95.89580999999998,90.87137000000001
2022-04-08 18:00:00,224.283354656886,53.46554,57.565239999999996,51.74705,54.32097000000002,55.122330000000005
2022-04-08 18:15:00,247.081603798141,54.359463,58.07384700000001,61.30273,62.99812,69.66396999999998
2022-04-08 18:30:00,272.89589887963,55.376675,56.748385000000006,55.85447999999998,59.96954000000002,60.72477999999998
2022-04-08 18:45:00,295.279051268636,54.837368,61.449276,56.70999600000002,59.823289999999986,65.60295000000002
2022-04-08 19:00:00,322.685323898742,4.2770567,3.3214882999999995,1.4874140000000011,6.265253999999999,3.837802999999999
2022-04-08 19:15:00,331.310493453233,1.5644772,2.9361788000000004,4.562186,9.155073999999999,4.554480000000002
2022-04-08 19:30:00,335.518320103171,3.344487,4.053456,3.6989719999999995,5.6717580000000005,4.192167000000001
2022-04-08 19:45:00,329.229482884314,2.627811,2.9668845999999998,3.1672443999999995,8.838999000000001,4.400234000000001
2022-04-08 20:00:00,335.423381409498,7.3440003,9.902455699999997,13.778674000000002,11.574696999999997,10.649956000000003
2022-04-08 20:15:00,320.21687252689,9.332198,9.748332,8.985420000000001,11.821295,9.971809999999998
2022-04-08 20:30:00,299.836936701791,7.683072,7.683072,11.405163,14.472219000000003,10.310883999999994
2022-04-08 20:45:00,272.941480803622,9.386142,12.68439,8.538457999999999,9.802275999999999,10.295472000000004
2022-04-08 21:00:00,304.060590119164,14.896067,19.519780999999995,22.895092000000005,20.49074999999999,22.532900000000012
2022-04-08 21:15:00,324.553323064553,13.262352,18.641278,19.60454,17.570114999999994,24.590445000000003
2022-04-08 21:30:00,346.16171750484,15.813102,20.298104000000002,21.939529,20.737354999999994,18.656689999999998
2022-04-08 21:45:00,340.246609720173,13.493538,16.545189,20.382872999999996,18.19431,19.041995999999997
2022-04-08 22:00:00,308.659229063382,32.09628,39.26304,38.245836,37.768024,36.0727
2022-04-08 22:15:00,310.181110922443,30.940357,37.737203,34.431265999999994,36.095774000000006,37.88363000000001
2022-04-08 22:30:00,304.227482963068,31.51832,37.39042499999999,37.020545,36.72769000000001,37.59079
2022-04-08 22:45:00,299.171207595401,28.158422,37.868212,34.007425999999995,34.85510000000001,34.06906000000001
2022-04-08 23:00:00,286.423960649455,17.593231,22.771789000000002,24.43634,23.634879999999995,23.76588600000001
2022-04-08 23:15:00,273.584516502738,14.888359,25.199238,23.67342,22.825736999999997,24.575046
2022-04-08 23:30:00,263.274591741773,14.194803,20.328932000000002,23.896895,17.68571,22.301699999999997
2022-04-08 23:45:00,227.353272732625,9.609621,17.670289999999998,20.852951000000004,16.260058,19.1807
2022-04-09 00:00:00,165.372301876991,64.24651,74.4033,75.82121000000001,74.57283000000001,72.4921
2022-04-09 00:15:00,127.063401951944,65.07108,68.16897,86.96437,76.23735000000002,71.29766999999998
2022-04-09 00:30:00,119.205788748292,65.47951,70.71970999999999,64.67806999999999,66.83581000000001,64.11547999999999
2022-04-09 00:45:00,118.153685541665,67.96861,70.24964000000001,71.30536999999998,72.86207999999999,71.25145000000003
2022-04-09 01:00:00,118.263133081545,172.71887,144.06717,140.75356,135.86790000000002,145.88582999999994
2022-04-09 01:15:00,120.084216210686,174.05205,147.14195,139.2817,144.76856000000004,146.4946399999999
2022-04-09 01:30:00,117.993156900539,171.19308,146.82601999999997,138.38773000000003,143.56637,142.40265
2022-04-09 01:45:00,117.022699716393,165.96825,139.82878,133.40954,136.96988000000005,138.26441
2022-04-09 02:00:00,119.499128252655,139.05052,128.97080999999997,118.61362000000003,121.32619999999997,125.17941000000008
2022-04-09 02:15:00,119.979039385828,134.43451,127.83798999999999,117.91244,114.33663999999999,117.96645999999998
2022-04-09 02:30:00,117.106439226631,130.5737,122.2972,113.3041,118.11275,120.45535000000001
2022-04-09 02:45:00,117.487202779682,124.000305,113.39657500000001,112.96508999999998,118.88336000000004,107.37033000000002
2022-04-09 03:00:00,120.297584482772,50.282883,53.272897,52.795109999999994,47.15416000000002,55.34585000000001
2022-04-09 03:15:00,119.160150715213,42.453403,45.751652,55.54622500000001,46.499149999999986,42.55357000000001
2022-04-09 03:30:00,116.787559171646,44.017754,40.272536,51.36947000000001,42.753919999999994,41.09710999999999
2022-04-09 03:45:00,118.511002031849,36.2268,41.34371,40.5654,38.05315000000002,34.73178999999999
2022-04-09 04:00:00,120.145764750711,71.898766,71.051094,76.86160000000001,74.38015999999999,79.52017999999998
2022-04-09 04:15:00,117.991398370824,65.54117,72.61545000000001,73.07782,70.07240999999999,72.83118000000002
2022-04-09 04:30:00,117.962591979302,59.337673,66.288667,63.969120000000004,67.26736,73.15481999999997
2022-04-09 04:45:00,118.356083937909,53.43473,59.66132999999999,57.75021000000001,54.66772,48.479630000000014
2022-04-09 05:00:00,119.579769401014,31.079071,36.442589,41.366844,41.844635999999994,44.23350000000002
2022-04-09 05:15:00,117.961252147138,29.761312,30.424048000000003,34.90133999999999,35.61030000000001,34.25403
2022-04-09 05:30:00,118.95130437668,23.557825,26.794432,38.191893,31.888220000000004,34.73180000000001
2022-04-09 05:45:00,117.654430581627,24.991179,23.357469,30.83247200000001,28.67474,33.39863
